# 06/10/2019 12:57:34 PM : Volumes - EPEX Spot Market Auction - Austria
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Day Volume
05/09/2019,2338.4,2474.8,2575.2,,2802.7,2628.9,2890.2,3103.7,2717.3,2545.8,3360.4,3914.2,4336.3,4293.0,4416.1,4512.6,4526.4,4577.7,4074.0,3685.1,3070.4,2891.7,2549.5,2591.5,2332.5,79208.4
04/09/2019,2282.2,2876.4,2853.9,,2891.7,3019.7,3210.2,2769.6,2501.3,2342.6,2493.3,3443.0,3976.6,3876.6,4275.3,4136.7,4053.5,4203.6,3624.1,3169.9,2656.3,2487.2,2308.7,2474.3,2906.5,74833.2
03/09/2019,2240.1,2500.8,2740.9,,2782.4,2774.6,2854.5,2094.6,2185.5,2198.5,2495.6,2683.5,2819.9,3172.6,3086.7,2958.6,2941.0,2828.3,2269.9,2210.9,2593.1,2887.7,2635.9,2027.0,1976.5,61959.1
02/09/2019,2347.6,2375.2,2448.6,,2450.4,2462.0,2437.6,2006.5,2012.9,2291.4,2508.4,2829.6,3139.8,3422.0,3260.8,2985.3,2822.0,2430.9,2021.3,2003.6,2755.5,2920.4,2573.8,2957.9,2778.6,62242.1
01/09/2019,2528.4,2467.3,2502.5,,2420.3,2423.6,2502.3,2038.3,2193.9,2388.8,2463.7,2554.4,2617.0,2321.0,2388.7,2579.0,2595.0,2657.5,2918.7,2625.3,2257.7,2132.1,2045.0,2351.9,2320.7,58293.1
31/08/2019,2180.1,2114.0,2406.7,,2235.3,2094.2,2157.8,2379.3,2472.8,2436.6,2329.9,2591.0,2757.4,2795.7,2725.6,2675.1,2468.0,2498.5,2342.9,2206.9,2115.8,2090.4,2094.2,2429.4,2030.4,56628.0
30/08/2019,2502.6,2411.8,2325.0,,2354.4,2401.8,2550.9,2386.4,2259.9,2163.2,2782.2,3132.8,3166.3,3281.1,3085.2,3110.9,3052.0,2930.2,2652.0,2023.1,1778.0,2117.4,2223.5,2303.7,2164.2,61158.6
29/08/2019,2689.8,2586.0,2784.2,,2673.0,2656.7,2913.2,2824.8,2540.4,2291.1,2535.1,2612.0,2859.4,2947.3,3109.1,3135.5,3175.6,2986.0,2916.3,2417.3,2180.7,2638.7,2593.1,2480.9,2380.5,64926.7
28/08/2019,2534.6,2808.3,2739.2,,2637.9,2539.4,2606.2,2526.4,2304.8,2119.2,2282.8,2503.8,2546.6,2760.1,2541.9,2696.5,2803.3,2525.2,2058.3,1888.9,2183.7,2456.0,2371.4,2231.2,2249.1,58914.8
27/08/2019,2575.7,2667.1,2518.6,,2465.5,2409.0,2814.9,2531.1,2427.0,2115.8,2289.8,2328.4,2706.5,2693.4,2713.3,2783.7,2782.7,2690.1,2112.7,1917.9,1913.2,2428.9,2420.1,2459.0,2420.1,59184.5
26/08/2019,2593.7,2515.8,2430.7,,2317.9,2406.7,2597.2,2518.6,2566.6,2278.6,2911.0,3254.7,3426.1,3178.5,3160.2,3184.5,3231.7,3155.7,2609.9,2294.4,2044.3,2600.8,2595.2,2555.6,2768.1,65196.5
25/08/2019,2281.1,2657.9,2843.9,,2507.3,2446.6,2621.4,2701.7,2804.9,2534.5,3232.7,3618.7,3626.3,3638.1,3612.0,3628.1,3690.3,3538.8,2919.2,2868.3,2724.3,2824.5,2730.7,2649.8,2538.7,71239.8
24/08/2019,2098.8,2062.9,2175.6,,2101.3,2474.6,2321.4,2283.5,2644.3,2482.2,2729.7,3282.5,3575.7,3617.3,3855.8,3850.2,3778.9,3725.1,2877.3,2664.8,2312.9,2270.8,2380.1,2608.2,2224.3,66398.2
23/08/2019,2593.0,2336.4,2281.3,,2226.1,2262.0,2457.8,2772.9,2803.8,2634.4,2758.8,3327.5,3496.9,3763.2,3752.5,3653.1,3658.8,3356.2,2617.5,2046.7,2600.8,2694.5,2427.7,2464.8,2568.3,67555.0
22/08/2019,2418.3,2707.4,2540.4,,2540.6,2652.5,3154.0,2585.6,2373.6,2462.4,2665.6,3430.1,3981.5,4069.2,4213.9,4230.0,4199.8,4225.7,2793.0,2276.3,2013.0,2140.6,2170.7,2153.3,2735.5,70733.0
21/08/2019,2671.8,2559.4,2766.3,,2794.3,2946.8,2256.1,2248.8,2847.7,2438.0,2459.9,2911.9,3212.9,3667.0,4126.0,4344.6,4382.3,3744.9,2712.8,2322.4,2705.6,2711.8,2756.5,2446.8,2084.1,70118.7
20/08/2019,3320.7,3098.0,3064.4,,2981.8,3102.5,2955.1,2707.9,2708.5,2572.2,2599.3,2893.0,3040.3,3256.9,3278.5,3134.5,3067.9,3117.0,2401.5,2177.6,2503.5,2863.8,2699.9,2964.1,2701.1,69210.0
19/08/2019,2326.2,2413.3,2733.6,,2648.5,2863.2,2553.9,2627.1,2827.9,2914.9,3846.0,4805.3,4759.5,4546.9,4388.0,4345.1,4346.7,4586.9,4468.9,2539.4,2173.3,2416.6,2449.2,2234.2,2640.4,78455.0
18/08/2019,2395.6,2465.1,2698.2,,2612.7,2229.9,2719.7,3196.9,2671.0,3014.0,3159.9,3640.3,4335.9,3800.1,3900.7,3807.7,3810.7,3680.4,3609.7,2705.0,2102.7,2145.4,1845.7,1963.7,1802.5,70313.5
17/08/2019,2962.9,2643.3,3231.9,,3348.6,3238.3,3256.6,3402.9,4025.7,3453.0,3339.9,3476.5,3538.1,3844.6,3649.1,3898.7,4097.5,4058.7,3404.0,2804.7,2509.4,2470.3,2541.0,2454.4,2153.5,77803.6
16/08/2019,2058.8,2046.6,1991.4,,2156.8,2148.3,2161.3,1877.8,2057.0,1961.9,2121.8,2753.4,2763.7,2935.2,3112.0,3345.3,3211.6,3173.5,2205.9,2157.8,2591.1,2470.3,2425.1,2283.4,2534.1,58544.1
15/08/2019,2520.5,2388.0,2528.9,,2963.3,2820.4,2973.9,2170.7,2356.2,2575.4,2651.9,2800.5,2757.9,2924.7,3098.2,3214.5,3221.3,2860.9,2854.9,2253.1,2133.6,2208.8,2139.4,2098.3,2198.9,62714.2
14/08/2019,2081.0,2083.7,2104.1,,2553.0,2481.4,2475.7,1911.6,2907.7,2294.4,2511.9,2784.2,2777.8,3422.1,3550.7,3305.2,3280.7,2684.3,2456.1,2605.7,3158.9,3530.0,2889.2,2775.1,2463.4,65087.9
13/08/2019,1581.4,1567.6,1732.9,,1816.9,2080.3,1682.7,2137.1,2166.2,1913.2,2079.9,2828.4,3176.0,3793.9,3767.1,3846.0,3946.1,3729.5,2800.0,2371.7,2256.6,2297.1,2227.1,2050.8,1509.7,59358.2
12/08/2019,2145.7,1997.2,1900.9,,2002.9,1992.8,2276.0,2330.0,2352.8,2453.1,2783.9,3557.3,3689.3,3776.9,3771.9,3584.5,2969.2,2816.6,2575.6,2356.0,2210.5,2386.0,2311.7,2058.6,2227.4,62526.8
11/08/2019,2348.7,3114.6,3260.1,,3611.8,3672.1,3549.1,3559.0,3803.9,4166.0,4699.5,4685.8,4665.1,4616.9,4706.3,4445.3,4622.1,4173.1,3615.1,2994.9,2971.5,2934.1,2944.0,2768.9,2500.4,88428.3
10/08/2019,2241.1,2791.0,2617.1,,2757.7,2551.3,3377.7,3165.8,3451.0,3633.9,4158.3,4174.8,4189.2,4237.8,4413.5,4372.1,4432.2,4423.4,4381.0,4271.5,3060.2,2962.3,3018.2,2432.8,2333.5,83447.4
09/08/2019,1777.7,1722.7,1773.1,,1772.6,1756.2,2143.7,2210.9,2531.7,2668.6,2506.1,2524.1,2906.2,3006.0,3176.5,3031.1,3337.7,2955.3,2786.2,2342.4,2193.5,2271.0,2327.4,2301.6,2217.6,58239.9
08/08/2019,2240.9,2136.9,2354.5,,2242.3,2034.3,2141.5,2228.1,2367.5,2818.0,3083.8,3857.0,4386.4,4484.9,4513.2,4507.0,4577.3,4211.2,3538.1,2988.3,2752.8,2778.2,2705.8,2601.1,2512.4,74061.5
07/08/2019,2148.0,2065.1,2081.2,,2097.8,2156.6,2427.5,2614.7,2561.3,2613.9,2892.7,2948.0,3214.8,3489.2,3527.8,3454.5,3279.3,3186.9,3079.0,2757.6,2376.2,2250.6,2232.3,2229.9,1772.8,63457.7
06/08/2019,1875.9,1844.6,1820.6,,1837.3,1962.5,2067.7,2331.8,2302.3,2261.3,2450.2,2676.3,3183.7,3335.7,3541.3,3299.5,3059.5,2715.2,2768.5,2327.2,2011.5,2510.8,2577.3,2682.2,2018.5,59461.4
05/08/2019,2179.8,1977.4,2434.3,,2337.7,2726.7,2371.2,2650.3,2286.2,2379.7,2557.3,2837.1,2858.0,2982.5,3408.1,3224.2,3127.2,3080.1,3000.4,2410.0,2092.7,2389.4,2366.0,2319.1,2319.8,62315.2
04/08/2019,2871.7,2607.9,2794.4,,2955.0,2954.5,3044.4,2772.2,2533.0,2322.3,2409.8,2549.7,2711.9,2844.0,2582.4,2784.4,2621.1,2465.5,2030.0,2293.6,3178.3,3482.9,3541.5,3168.7,3420.1,66939.3
03/08/2019,1819.8,1819.7,1726.2,,1789.7,1836.9,1877.2,1796.0,2254.3,1955.0,2049.8,2148.8,2172.8,2002.9,2274.4,2516.0,2508.4,2632.9,2211.7,1843.0,2031.8,1943.7,1857.8,2451.5,2321.0,49841.3
02/08/2019,1930.6,2206.6,2039.7,,1720.5,1851.5,2258.6,2634.6,2135.3,2148.9,2212.0,2309.4,2467.4,2512.2,2859.6,2936.5,2875.1,2597.3,2291.5,2117.4,2145.7,2132.0,2245.5,2349.4,1725.1,54702.4
