# 30/12/2020 11:32:30 AM: Volumes - EPEX Spot Market Auction - germany_luxembourg
Delivery day,Hour 1,Hour 2,Hour 3A,Hour 3B,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24,Total Volume
16/11/2020,25044.9,26169.3,25897.2,,24512.9,23716.6,23859.4,24855.4,25292,26853.6,26489.9,26916.6,27353.2,27544.1,26858.7,26596.4,26039.3,26877.1,27891.7,26168.6,26525.3,24645.8,22541,21120.4,20702.9,610472.3
15/11/2020,23000.8,22615.6,24084.5,,23629.2,23747.5,23731.3,24118.6,23781.2,23767.2,23784.1,24165.8,25708,25774,25277.9,24894.6,24142.9,23832,25359.4,24563.3,23124.1,22682.1,21736.1,21464.9,21532.6,570517.7
14/11/2020,18556.1,19741,19491.6,,19384,19454.2,19538.5,19877.4,19939.6,20130.3,21180.8,22198.3,22723.4,22447.5,21888.9,21123.1,20795.8,20770.3,22225.5,22489,21699.6,20777,21070,20742.1,23059,501303
13/11/2020,18127.1,18893.1,19255,,20132.1,20208.1,19570.9,21280.5,23717.6,23829.6,23187.3,24303.1,24993.6,24845,24385.7,23550.5,22796.4,23121.4,24028.4,23065.7,21959.5,20195,18455.7,17561,17810.8,519273.1
12/11/2020,17795.3,17963.3,19341.1,,18980.4,19985.5,18140.5,20144.3,22245.8,21528,21714,22443.5,22564.8,22399.7,22636,21611.1,21348.7,21882.5,22393.4,21542.5,20843.1,20765.9,19488.8,17191.8,16985.5,491935.5
11/11/2020,17130.3,17441.4,18346.5,,18325.3,19012.5,18482.4,20641.9,22676.6,23518.9,23695.1,24264.5,24655,24981.7,24172.3,23687.7,22536.7,23137.5,24546.5,22829.5,23074.6,21877.9,19426.7,17985.2,17146.4,513593.1
10/11/2020,16403.7,16546.5,16711.3,,16958.4,17059.3,16686.6,18730.1,21958.7,21437.4,21126.6,21339.8,21990.6,21924.8,21692.7,21259,21591.4,21914,22732.6,21951.2,20912.1,20546.6,18595.3,17480.3,16352.8,473901.8
09/11/2020,18126.6,18731,18934.2,,18355.7,18195.2,17741.5,19658,22519.6,22716.1,23596.3,24812.2,25322.6,25829.1,25268.3,24023.5,23104.5,24324.4,25082.7,24386.7,23100.8,22063.4,20513.9,19617.5,17784.4,523808.2
08/11/2020,19299.2,19785.9,19899.1,,20174,19835,20431.6,21475.5,21113.3,21182,24041.9,25631.3,27469.3,28042.7,26432.1,24259.1,22039.1,20196.3,20997,20416.8,20763.9,19597.5,19591.3,19304.8,20152,522130.7
07/11/2020,18300.6,18506.6,19133.3,,18771.4,19183.7,19257.2,18895.8,18589.5,19057.3,22414.9,25326.7,26988.4,27201.9,25857.1,23261.9,20114.4,19733.5,21764,22407.8,22318.1,19968,19453.5,19135.2,18421.3,504062.1
