# 16/01/2020 06:03:08 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
17/07/2019,16,17,0.0,14.3,36.50000,36.50000,36.50000,17/07/2019 09:23:00,,36.50000
17/07/2019,13,14,0.0,50.0,44.00000,44.00000,44.00000,17/07/2019 06:00:00,,44.00000
05/07/2019,14,19,185.0,0.0,31.00000,32.00000,32.00000,05/07/2019 11:41:00,,31.45946
28/06/2019,8,21,1.0,1.0,39.15000,39.15000,39.15000,27/06/2019 21:49:00,,39.15000
27/06/2019,1,24,2.0,2.0,31.02000,31.02000,31.02000,26/06/2019 22:47:00,,31.02000
13/06/2019,7,24,4.0,4.0,38.00000,38.00000,38.00000,13/06/2019 01:57:00,,38.00000
11/06/2019,16,19,2.0,2.0,41.00000,41.00000,41.00000,11/06/2019 08:35:00,,41.00000
10/06/2019,18,22,2.0,2.0,35.00000,35.00000,35.00000,10/06/2019 10:12:00,,35.00000
08/06/2019,1,24,158.0,158.0,3.70000,3.70000,3.70000,07/06/2019 22:00:00,,3.70000
29/05/2019,16,17,0.0,80.0,34.00000,34.00000,34.00000,29/05/2019 10:53:00,,34.00000
15/05/2019,9,14,60.0,0.0,41.70000,41.70000,41.70000,15/05/2019 05:44:00,,41.70000
15/05/2019,2,6,88.1,88.1,36.00000,36.00000,36.00000,14/05/2019 21:59:00,,36.00000
06/05/2019,15,18,100.0,0.0,45.00000,45.00000,45.00000,06/05/2019 09:16:00,,45.00000
04/05/2019,22,24,50.0,0.0,42.00000,42.00000,42.00000,04/05/2019 19:56:00,,42.00000
29/04/2019,5,6,0.0,50.0,34.50000,34.50000,34.50000,28/04/2019 22:03:00,,34.50000
11/04/2019,19,24,7.0,7.0,50.00000,50.00000,50.00000,11/04/2019 16:07:00,,50.00000
02/04/2019,10,24,400.0,400.0,41.00000,41.00000,41.00000,02/04/2019 03:02:00,,41.00000
31/03/2019,18,24,3.0,3.0,30.00000,30.00000,30.00000,31/03/2019 13:58:00,,30.00000
26/03/2019,10,17,9.0,9.0,30.00000,30.00000,30.00000,26/03/2019 07:45:00,,30.00000
20/03/2019,1,24,4.0,4.0,43.46000,43.46000,43.46000,19/03/2019 22:49:00,,43.46000
18/03/2019,3,6,75.0,75.0,30.00000,30.00000,30.00000,18/03/2019 00:07:00,,30.00000
11/03/2019,18,23,0.0,100.0,51.50000,51.50000,51.50000,11/03/2019 09:15:00,,51.50000
01/03/2019,13,14,0.0,100.0,48.00000,48.00000,48.00000,01/03/2019 05:04:00,,48.00000
23/02/2019,11,13,0.0,25.0,36.50000,36.50000,36.50000,23/02/2019 08:17:00,,36.50000
23/02/2019,19,24,0.0,42.5,46.00000,46.00000,46.00000,23/02/2019 08:21:00,,46.00000
21/02/2019,2,6,0.0,425.0,38.50000,38.50000,38.50000,20/02/2019 22:43:00,,38.50000
13/02/2019,20,21,95.0,0.0,55.01000,55.01000,55.01000,12/02/2019 22:02:00,,55.01000
26/01/2019,3,6,115.0,115.0,50.00000,50.00000,50.00000,25/01/2019 23:06:00,,50.00000
24/01/2019,9,15,10.0,0.0,136.37000,136.88000,136.88000,24/01/2019 06:20:00,,136.62500
17/01/2019,1,3,262.0,200.0,50.00000,50.00000,50.00000,16/01/2019 22:39:00,,50.00000
12/01/2019,5,9,12.0,12.0,53.00000,53.00000,53.00000,12/01/2019 02:16:00,,53.00000
11/01/2019,13,24,38.0,38.0,70.00000,70.00000,70.00000,11/01/2019 08:54:00,,70.00000
11/01/2019,8,12,38.0,38.0,71.00000,71.00000,71.00000,11/01/2019 02:25:00,,71.00000
10/01/2019,21,24,0.0,30.0,65.50000,65.50000,65.50000,10/01/2019 16:04:00,,65.50000
01/01/2019,12,24,12.0,12.0,40.00000,40.00000,40.00000,01/01/2019 08:54:00,,40.00000
