# 31/12/2013 04:19:26 PM : Block Values - EPEX Spot Intraday Trading - France
Delivery day,Hour from,Hour to,Volume Buy (MW),Volume Sell (MW),Low Price (EUR/MWh),High Price (EUR/MWh),Last Price (EUR/MWh),Time Stamp of Last Price,Index Price,Weighted Average Price
30/11/2013,9,21,153.0,153.0,70.00000,70.00000,70.00000,30/11/2013 02:58:00,70.56583,70.00000
30/11/2013,10,21,105.0,105.0,70.00000,70.00000,70.00000,30/11/2013 02:58:00,,70.00000
29/11/2013,18,20,30.0,30.0,82.50000,82.50000,82.50000,29/11/2013 13:59:00,,82.50000
29/11/2013,19,24,50.0,50.0,69.00000,69.00000,69.00000,29/11/2013 16:17:00,,69.00000
29/11/2013,17,24,4.0,4.0,73.00000,73.00000,73.00000,29/11/2013 13:59:00,,73.00000
29/11/2013,22,23,100.0,100.0,74.50000,74.50000,74.50000,28/11/2013 19:16:00,,74.50000
29/11/2013,16,19,92.0,92.0,72.00000,74.00000,74.00000,29/11/2013 12:42:00,,73.00000
29/11/2013,22,24,175.0,175.0,58.00000,60.00000,60.00000,29/11/2013 11:18:00,,59.14286
28/11/2013,4,7,15.0,15.0,56.00000,56.00000,56.00000,27/11/2013 18:32:00,,56.00000
28/11/2013,22,23,50.0,50.0,74.50000,74.50000,74.50000,28/11/2013 19:17:00,,74.50000
28/11/2013,15,17,15.0,30.0,66.00000,66.00000,66.00000,27/11/2013 22:01:00,,66.00000
28/11/2013,18,24,19.0,19.0,80.00000,85.00000,85.00000,28/11/2013 15:41:00,,81.57895
28/11/2013,20,24,135.0,135.0,75.75000,75.75000,75.75000,28/11/2013 17:51:00,,75.75000
28/11/2013,22,24,100.0,100.0,73.00000,73.00000,73.00000,28/11/2013 19:44:00,,73.00000
28/11/2013,1,6,25.0,25.0,56.00000,56.00000,56.00000,27/11/2013 21:14:00,,56.00000
28/11/2013,21,24,150.0,150.0,72.00000,72.00000,72.00000,28/11/2013 18:24:00,,72.00000
27/11/2013,15,24,50.0,50.0,72.50000,72.50000,72.50000,27/11/2013 09:01:00,,72.50000
27/11/2013,12,24,50.0,50.0,68.50000,68.50000,68.50000,27/11/2013 08:25:00,,68.50000
26/11/2013,16,17,165.0,165.0,66.50000,66.50000,66.50000,26/11/2013 13:00:00,,66.50000
26/11/2013,1,6,50.0,50.0,50.00000,53.00000,50.00000,25/11/2013 21:41:00,,51.50000
26/11/2013,1,24,101.0,101.0,64.00000,65.00000,64.00000,25/11/2013 22:04:00,,64.40594
26/11/2013,16,20,15.0,0.0,81.00000,81.00000,81.00000,26/11/2013 08:07:00,,81.00000
25/11/2013,11,13,50.0,50.0,59.00000,59.00000,59.00000,25/11/2013 08:40:00,,59.00000
25/11/2013,14,24,6.0,6.0,60.00000,60.00000,60.00000,25/11/2013 10:15:00,,60.00000
23/11/2013,23,24,120.0,120.0,69.25000,69.25000,69.25000,23/11/2013 19:46:00,,69.25000
23/11/2013,9,24,300.0,300.0,67.50000,67.50000,67.50000,23/11/2013 04:24:00,,67.50000
23/11/2013,6,7,60.0,60.0,50.00000,50.00000,50.00000,23/11/2013 02:24:00,,50.00000
22/11/2013,2,10,40.0,40.0,56.50000,56.50000,56.50000,21/11/2013 21:25:00,,56.50000
